cod_cim,matched_symptoms
W69799004,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799005,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799006,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799007,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799008,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799009,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799010,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799011,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799012,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799013,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799014,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799015,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799016,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800001,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800002,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800003,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800004,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800005,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800006,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800007,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800008,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800009,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800010,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800011,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800012,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800013,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800014,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800015,['agenti antitrombotici inhibitori directi ai factorului xa']
W69800016,['agenti antitrombotici inhibitori directi ai factorului xa']
W70225001,['anticorpi monoclonali inhibitori vegf/vegfr']
W70225002,['anticorpi monoclonali inhibitori vegf/vegfr']
W65091001,['antipsihotice alte antipsihotice']
W70784001,['antipsihotice alte antipsihotice']
W67868001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67868002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67868003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67868004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67868005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68955001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68955002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68955003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68018001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68019001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68019002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68019003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68019004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68019005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W71014001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W71014002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W71015001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W71015002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W71015003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W71015004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733006,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733007,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68733008,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732006,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732007,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68732008,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67872001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68536001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68536002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68536003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68536004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68536005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69854001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69854002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69855001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69855002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030006,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030007,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030008,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030009,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030010,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030011,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030012,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030013,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030014,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030015,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68030016,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031006,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031007,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031008,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031009,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031010,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031011,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031012,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031013,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031014,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031015,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031016,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031017,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031018,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031019,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68031020,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69090001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69090002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69090003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69090004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69090005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69090006,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176006,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176007,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W69176008,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67711001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67712001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67712002,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67712003,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67712004,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W67712005,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68820001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68821001,['antagonisti hormonali si substante inrudite alti antagonisti hormonali si substante inrudite']
W68469001,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469002,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469003,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469004,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469005,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469006,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469007,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469008,['agenti antitrombotici inhibitori directi ai factorului xa']
W68469009,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470001,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470002,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470003,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470004,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470005,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470006,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470007,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470008,['agenti antitrombotici inhibitori directi ai factorului xa']
W68470009,['agenti antitrombotici inhibitori directi ai factorului xa']
W69640001,['alcaloizi din plante si alte produse naturale taxani']
W69520001,['alcaloizi din plante si alte produse naturale taxani']
W69758001,['vaccinuri virale alte vaccinuri virale']
W69758002,['vaccinuri virale alte vaccinuri virale']
W69758003,['vaccinuri virale alte vaccinuri virale']
W69758004,['vaccinuri virale alte vaccinuri virale']
W69758005,['vaccinuri virale alte vaccinuri virale']
W69758006,['vaccinuri virale alte vaccinuri virale']
W67212001,['alergeni alergeni - extracte']
W67212002,['alergeni alergeni - extracte']
W67212003,['alergeni alergeni - extracte']
W71043001,['expectorante excl. combinatii cu antitusive mucolitice']
W71043002,['expectorante excl. combinatii cu antitusive mucolitice']
W57115001,['expectorante excl. combinatii cu antitusive mucolitice']
W57114001,['expectorante excl. combinatii cu antitusive mucolitice']
W69970001,['expectorante excl. combinatii cu antitusive mucolitice']
W69970002,['expectorante excl. combinatii cu antitusive mucolitice']
W69970003,['expectorante excl. combinatii cu antitusive mucolitice']
W69970004,['expectorante excl. combinatii cu antitusive mucolitice']
W69970005,['expectorante excl. combinatii cu antitusive mucolitice']
W69970006,['expectorante excl. combinatii cu antitusive mucolitice']
W69971001,['expectorante excl. combinatii cu antitusive mucolitice']
W69971002,['expectorante excl. combinatii cu antitusive mucolitice']
W69971003,['expectorante excl. combinatii cu antitusive mucolitice']
W69971004,['expectorante excl. combinatii cu antitusive mucolitice']
W69971005,['expectorante excl. combinatii cu antitusive mucolitice']
W69971006,['expectorante excl. combinatii cu antitusive mucolitice']
W69971007,['expectorante excl. combinatii cu antitusive mucolitice']
W69971008,['expectorante excl. combinatii cu antitusive mucolitice']
W69971009,['expectorante excl. combinatii cu antitusive mucolitice']
W69661001,['expectorante excl. combinatii cu antitusive mucolitice']
W69661002,['expectorante excl. combinatii cu antitusive mucolitice']
W69661003,['expectorante excl. combinatii cu antitusive mucolitice']
W69661004,['expectorante excl. combinatii cu antitusive mucolitice']
W69661005,['expectorante excl. combinatii cu antitusive mucolitice']
W69661006,['expectorante excl. combinatii cu antitusive mucolitice']
W69661007,['expectorante excl. combinatii cu antitusive mucolitice']
W06666001,['expectorante excl. combinatii cu antitusive mucolitice']
W57113001,['expectorante excl. combinatii cu antitusive mucolitice']
W69942001,['expectorante excl. combinatii cu antitusive mucolitice']
W69942002,['expectorante excl. combinatii cu antitusive mucolitice']
W61314001,['expectorante excl. combinatii cu antitusive mucolitice']
W61309001,['expectorante excl. combinatii cu antitusive mucolitice']
W61309002,['expectorante excl. combinatii cu antitusive mucolitice']
W67882001,['cytokine si imunomodulatoare factori de stimulare a coloniilor']
W65658001,['cytokine si imunomodulatoare factori de stimulare a coloniilor']
W65658002,['cytokine si imunomodulatoare factori de stimulare a coloniilor']
W65659001,['cytokine si imunomodulatoare factori de stimulare a coloniilor']
W65659002,['cytokine si imunomodulatoare factori de stimulare a coloniilor']
W67883001,['cytokine si imunomodulatoare factori de stimulare a coloniilor']
W61162001,['preparate de tiroida hormoni tiroidieni']
W61162003,['preparate de tiroida hormoni tiroidieni']
W61162002,['preparate de tiroida hormoni tiroidieni']
W61162004,['preparate de tiroida hormoni tiroidieni']
W61160001,['preparate de tiroida hormoni tiroidieni']
W61160003,['preparate de tiroida hormoni tiroidieni']
W61160002,['preparate de tiroida hormoni tiroidieni']
W61160004,['preparate de tiroida hormoni tiroidieni']
W61161001,['preparate de tiroida hormoni tiroidieni']
W61161003,['preparate de tiroida hormoni tiroidieni']
W61161002,['preparate de tiroida hormoni tiroidieni']
W61161004,['preparate de tiroida hormoni tiroidieni']
W70806001,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806002,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806003,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806004,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806005,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806006,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806007,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806008,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W70806009,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W14016001,['antiinflamatoare si antireumatice nesteroidiene derivati ai acidului acetic si substante inrudite']
W14016002,['antiinflamatoare si antireumatice nesteroidiene derivati ai acidului acetic si substante inrudite']
W14016003,['antiinflamatoare si antireumatice nesteroidiene derivati ai acidului acetic si substante inrudite']
W68012001,['alte analgezice si antipiretice acid salicilic si derivati']
W00078002,['alte analgezice si antipiretice acid salicilic si derivati']
W67086001,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63387001,['hormoni ai lobului posterior hipofizar hormon antidiuretic (adh) si analogi']
W63387002,['hormoni ai lobului posterior hipofizar hormon antidiuretic (adh) si analogi']
W63387003,['hormoni ai lobului posterior hipofizar hormon antidiuretic (adh) si analogi']
W63387004,['hormoni ai lobului posterior hipofizar hormon antidiuretic (adh) si analogi']
W51718001,['antiglaucomatoase si miotice inhibitori ai anhidrazei carbonice']
W51718002,['antiglaucomatoase si miotice inhibitori ai anhidrazei carbonice']
W61746001,['expectorante excl. combinatii cu antitusive mucolitice']
W61748001,['expectorante excl. combinatii cu antitusive mucolitice']
W66169001,['expectorante excl. combinatii cu antitusive mucolitice']
W69475001,['expectorante excl. combinatii cu antitusive mucolitice']
W68073001,['expectorante excl. combinatii cu antitusive mucolitice']
W68073002,['expectorante excl. combinatii cu antitusive mucolitice']
W64910001,['chimioterapice de uz local antivirale']
W64910002,['chimioterapice de uz local antivirale']
W53675001,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W53675003,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W53676001,['antivirale cu actiune directa nucleozide & nucleotide excl inhibitori reverstranscriptaza']
W00044001,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W06667003,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W06668003,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W06669002,['chimioterapice de uz local antivirale']
W67326001,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326002,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326003,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326004,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326005,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326006,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326007,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326008,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W67326009,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W56038001,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W66137001,['chimioterapice de uz local antivirale']
W66137002,['chimioterapice de uz local antivirale']
W53225001,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69434001,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69434002,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69434003,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69435001,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69435002,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69435003,['antivirale cu actiune directa nucleozide & nucleotide excl inhib. si reverstranscriptei']
W69293001,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W69293002,['antivirale cu actiune directa nucleozide si nucleotide excl inhibitori reverstranscriptaza']
W67305001,['chimioterapice de uz local antivirale']
W67305002,['chimioterapice de uz local antivirale']
W42857001,['antivirale cu actiune directa nucleozide & nucleotide excl inhibitori reverstranscriptaza']
W55128001,['chimioterapice de uz local antivirale']
W55128002,['chimioterapice de uz local antivirale']
W58038001,['chimioterapice de uz local antivirale']
W58038002,['chimioterapice de uz local antivirale']
W53041001,['chimioterapice de uz local antivirale']
W60557001,['chimioterapice de uz local antivirale']
W60557002,['chimioterapice de uz local antivirale']
W52372001,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W66934001,['alte analgezice si antipiretice acid salicilic si derivati']
W63469001,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469002,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469003,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469004,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469005,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469006,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469007,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469008,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63469009,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468001,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468002,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468003,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468004,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468005,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468006,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468007,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W63468008,"['antitrombotice antiagregante plachetare', 'exclusiv heparina']"
W59755001,['alte analgezice si antipiretice acid salicilic si derivati']
W10197001,['alte analgezice si antipiretice acid salicilic si derivati']
W58826001,['alte analgezice si antipiretice acid salicilic si derivati']
W58826002,['alte analgezice si antipiretice acid salicilic si derivati']
W61729001,['alte analgezice si antipiretice acid salicilic si derivati']
W43817001,['alte analgezice si antipiretice acid salicilic si derivati']
W43817002,['alte analgezice si antipiretice acid salicilic si derivati']
W61728001,['alte analgezice si antipiretice acid salicilic si derivati']
W61728002,['alte analgezice si antipiretice acid salicilic si derivati']
W42953001,['alte analgezice si antipiretice acid salicilic si derivati']
W56628001,['alte analgezice si antipiretice acid salicilic si derivati']
W56628002,['alte analgezice si antipiretice acid salicilic si derivati']
W52373003,['alte analgezice si antipiretice acid salicilic si derivati']
W65841001,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W65841002,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W63922001,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W63922002,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W63922003,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W63923001,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W63923002,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W63923003,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati in combinatii']
W58389001,['combinatii']
W58389002,['combinatii']
W65656001,['med. ce influenteaza in structura osoasa si mineralizarea bifosfonati']
W65655001,['med. ce influenteaza in structura osoasa si mineralizarea bifosfonati']
W61620001,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620002,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620003,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620004,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620005,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620006,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620007,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620008,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620009,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W61620010,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W63021001,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W63021002,['med. ce influenteaza in structura osoasa si mineralizare bifosfonati']
W64296001,['alte produse pentru tractul digestiv si metabolism diferite medicamente pentru tract digestiv si metabolism']
W64296002,['alte produse pentru tractul digestiv si metabolism diferite medicamente pentru tract digestiv si metabolism']
W67404001,['alte produse pentru tractul digestiv si metabolism diferite medicamente pentru tract digestiv si metabolism']
W67404002,['alte produse pentru tractul digestiv si metabolism diferite medicamente pentru tract digestiv si metabolism']
W67404003,['alte produse pentru tractul digestiv si metabolism diferite medicamente pentru tract digestiv si metabolism']
W70199001,['antifibrinolitice antifibrinolitice']
W70199002,['antifibrinolitice antifibrinolitice']
W70199003,['antifibrinolitice antifibrinolitice']
W70199004,['antifibrinolitice antifibrinolitice']
W70199005,['antifibrinolitice antifibrinolitice']
W70199006,['antifibrinolitice antifibrinolitice']
W70199007,['antifibrinolitice antifibrinolitice']
W70199008,['antifibrinolitice antifibrinolitice']
W70495001,['terapia vezicii biliare medicamente continand acizi biliari']
